before,after
87.64052345967664,88.16319065370827
74.00157208367223,80.93608457296854
79.78737984105739,82.23335415321303
92.40893199201457,91.5057710714025
88.67557990149967,93.5346687598064
60.22722120123589,67.36888055388798
79.50088417525589,84.83347028717174
68.48642791702302,74.99878740572193
68.96781148206442,70.7962010136596
74.10598501938372,77.29227918944804
71.44043571160879,73.07813347272904
84.54273506962976,87.74496926192705
77.61037725146993,78.54464584124766
71.21675016492829,67.5853371532699
74.43863232745426,80.32576303872303
73.33674327374267,76.32783859270135
84.94079073157606,81.78979899674583
67.94841736234198,75.26232863997086
73.13067701650901,73.5941851945928
61.45904260698275,66.71876958596344
44.470101841659215,53.1155546525469
76.5361859544036,82.18110050819067
78.64436198859505,89.34136541131156
62.57834979593558,61.404220694167314
92.69754623987608,99.70925444576382
55.45634325401235,57.03229279931079
70.45758517301446,71.10359942710505
68.12816149974167,70.23391317591958
85.32779214358457,88.7700294829477
84.69358769900285,89.97441441015158
71.54947425696916,70.72372505305238
73.78162519602174,83.28575763079267
61.12214252369887,68.45045472235117
50.19203531776073,47.510816886374606
66.52087850673847,78.96213947571647
71.5634896910398,86.04293557119271
82.30290680727721,93.19680466307547
82.02379848784412,86.12417430878236
66.12673182592047,65.77296871836776
66.97697249424664,77.24923112890232
59.51447034932907,62.498585614463174
55.79982062821025,66.91204598012239
52.937298093749874,58.97867298413418
89.5077539523179,99.39094913473646
64.90347818248347,71.68531016835547
65.61925698388814,74.15212282484788
57.472046399500734,62.52454650310484
77.7749035583191,91.70425602784827
53.86102152442049,59.495581987938586
67.87259719786032,74.88254401508382
