col1,col2,Phone_Service,Tech_Insurance,churn
54.96714153011233,34.630887737658206,0,1,0
48.61735698828815,39.54708320235065,0,0,0
56.47688538100692,23.007162130904295,1,0,1
65.23029856408026,32.81484618345286,1,0,1
47.658466252766644,26.746787154390866,0,1,1
47.6586304305082,27.56437308117652,1,1,0
65.79212815507391,27.038030378805654,0,1,1
57.67434729152909,25.68004615160092,1,0,1
45.30525614065048,30.242608139724133,1,1,1
55.42560043585965,25.84524941794481,1,1,1
45.365823071875376,31.352284128899193,1,1,0
45.34270246429743,29.748809452754315,1,0,0
52.41962271566034,28.80525976566795,0,0,1
30.86719755342202,25.46218168979201,1,0,0
32.75082167486967,27.116143347158335,0,1,0
44.37712470759027,33.77695612912878,1,1,1
39.87168879665576,32.504585938121906,1,0,0
53.142473325952736,25.112223776007244,1,0,0
40.91975924478789,30.49666152714613,1,0,1
35.87696298664709,33.75693561685895,1,1,0
64.65648768921554,21.652973594393142,1,0,1
47.74223699513465,32.71680096189967,1,1,0
50.67528204687924,26.686881205270765,0,1,0
35.75251813786544,32.852993342965796,0,1,0
44.556172754748175,26.183704217287417,0,0,1
51.10922589709866,20.975589496677404,0,0,0
38.490064225776976,21.862287810584185,1,1,1
53.75698018345672,30.24042473330691,0,1,0
43.99361310081195,31.29861250860741,1,1,1
47.083062502067236,25.478416874477958,0,1,1
43.98293387770603,33.19296229388687,0,0,1
68.52278184508938,21.6923996886552,1,1,1
49.86502775262066,29.66960100676342,1,1,0
39.422890710440996,23.944919001187717,1,0,0
58.225449121031886,26.740819460989204,1,1,1
37.791563500289776,30.23699335658207,1,1,0
52.08863595004755,25.69793317358024,0,1,1
30.403298761202244,28.077222278850872,1,1,0
36.71813951101569,35.0314640460722,1,1,0
51.96861235869123,27.115540652384254,1,1,1
57.38466579995411,34.17846056032571,0,0,1
51.7136828118997,24.351465726711908,1,1,1
48.843517176117594,32.64902088957641,0,1,0
46.98896304410711,37.207843103289505,0,0,0
35.214780096325725,17.641777499363553,0,1,1
42.801557916052914,26.015523722647615,1,1,0
45.393612290402125,32.8853606359027,1,1,0
60.57122226218915,28.984773069785035,1,1,1
53.43618289568462,31.855729366856544,1,1,0
32.36959844637266,26.980074066420897,1,0,1
53.24083969394795,30.4329489373645,0,0,0
46.149177195836835,29.221613823039604,0,0,0
43.23077999694041,35.838910308299035,1,1,1
56.11676288840868,31.272104216506065,0,1,0
60.30999522495951,31.68801331037601,1,0,1
59.31280119116199,27.940615169387662,1,1,0
41.607824767773614,27.561968879637533,1,1,1
46.907876241487855,27.837209060901895,1,1,1
53.31263431403564,31.972260711891483,1,1,0
59.75545127122359,27.895077595898684,1,0,1
45.2082576215471,31.448874284482066,1,1,1
48.14341023336183,40.37700399322719,1,1,0
38.93665025993972,34.35562351715846,0,1,0
38.037933759193294,28.369882339160796,1,1,0
58.125258223941984,36.00606961081972,1,1,1
63.56240028570823,27.959623134892244,0,1,1
49.27989878419666,19.80937732411073,1,0,1
60.03532897892024,24.95956844541298,1,1,1
53.61636025047634,20.646040394870724,1,1,1
43.54880245394876,28.24243257979346,0,1,0
53.61395605508414,30.092091895947757,1,0,1
65.38036566465969,38.382186561376415,1,0,1
49.64173960890049,31.634636868820813,0,0,0
