id,tenure,f2,f3,f4,f5,design
1,7,58.87511614416269,1,58.929803700221726,8.629778213844853,41.29790154978835
2,20,56.05483130847675,0,72.88596356311295,13.040569456091667,47.769777046806986
3,15,42.797020071411865,1,75.95103900220313,18.54646247364811,50.62862086975561
4,11,47.300662309243094,0,38.40720437830286,14.12450093064367,24.72530917960866
5,8,48.56537770369311,1,24.867398400633554,18.861889934887976,27.77782525404661
6,7,56.1700377571513,1,21.299487522145967,8.008133049115257,24.55072247946457
7,19,62.48940699139911,0,25.892801511668047,11.250952461238215,37.22792755020194
8,11,50.65649158111225,1,28.19844790556497,14.028676497630592,24.366535808040055
9,11,61.69207646952623,0,21.51553725179759,-1.6317585674988848,18.84784335443107
10,4,58.733169690894265,1,87.94384608044004,17.55401609057263,49.869845835487176
11,8,52.0565013400667,1,75.94291408505065,0.6954505957267685,42.2589025577481
12,3,35.565166483037615,0,5.642750311330772,14.984700341392015,4.96735000508742
13,2,39.72289135911511,0,27.59857572050543,13.434158952713231,26.823924908498046
14,12,57.41240635045218,0,3.1962894609998616,-1.697965012574432,29.767188190200585
15,6,32.894704214749694,1,50.3183534779434,-1.4453062846649871,28.421525055254552
16,2,51.18978491895985,0,48.1448589821124,17.16240958726253,33.11704644052967
17,1,60.00485607762105,1,83.30577751618762,16.07361029843274,46.98435413860019
18,12,51.524208622592596,1,31.469946737333892,5.5956817775586964,28.29832830957106
19,12,43.986027544282734,0,81.82218778609317,5.590605524779678,53.84476669273392
20,17,41.533856431352035,0,96.82940277854249,12.563024861881104,63.5892396998305
21,10,58.16152722881371,1,9.752414113199011,9.93627924755816,18.890235144714325
22,16,54.71707291526979,1,79.38996610749366,15.271976079245572,53.62323536152594
23,15,47.145106990136696,0,59.40563381662597,12.397904622165434,50.1139400943472
24,15,60.6529246884595,0,48.524550734829035,17.915153969782676,45.48558624769838
25,19,58.53997786494901,0,42.63304208784243,14.850388889568633,45.44969960012922
26,12,67.88593857325462,0,78.68215813048664,13.603865245702888,60.889977504057654
27,20,55.668940707870874,0,64.29677434044999,8.23937639848163,56.626723739620424
28,3,48.35499565838096,1,80.69942208441682,7.873393829190777,51.29398111695825
29,5,48.57009065292473,1,90.411954808986,9.741205076473495,51.803487128085244
30,19,30.654298044989503,1,62.10910749763191,19.20471534968604,41.262087520760204
31,7,51.50659043483281,1,98.06580978414542,7.968626353051079,56.245030827190654
32,9,49.84285060147553,0,61.200697104646636,11.302644935370079,39.27681553203692
33,7,36.69925934485215,0,64.02778784060598,-1.2240145385365473,29.688532640159412
34,18,49.74712374428872,0,55.926745245680344,13.379043650220403,42.92262751812968
35,4,63.431682122967786,1,10.009207014081698,21.285991405465694,23.177650449412333
36,14,42.65452350052473,1,72.91330623237259,5.331809453685376,44.459880104223096
37,18,40.40105367886094,0,55.19718438301204,25.872210685633792,41.19518555278397
